Crimes,Spring,Summer,Autumn,Winter,ALL_SEASONS
"[GRAND LARCENY] LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",-0.018932092630644957,-0.019812617123718894,-0.01506106606977861,-0.013338523568382924,-0.01690788163981368
"[ROBBERY] ROBBERY,OF TRUCK DRIVER",,,,,
"[ROBBERY] ROBBERY,BAR/RESTAURANT",,,,,
"[INTOXICATED & IMPAIRED DRIVING] IMPAIRED DRIVING,DRUG",,,,,
"[PETIT LARCENY] LARCENY,PETIT FROM AUTO",-0.009810697727940045,-0.011876588207151952,-0.019174624695182496,-0.01542209715492373,-0.014490022801593378
"[DANGEROUS DRUGS] MARIJUANA, SALE 1, 2 & 3",,,,,
"[BURGLARY] BURGLARY,RESIDENCE,DAY",-0.025598239413459782,-0.02988564556904844,-0.03198099457648383,-0.025693235363675047,-0.02878447431546587
"[HARRASSMENT 2] HARASSMENT,SUBD 1,CIVILIAN",-0.0349648010336697,-0.03342817525516067,-0.04060035766065773,-0.03164586516077422,-0.035774047058632394
"[POSSESSION OF STOLEN PROPERTY] STOLEN PROPERTY 2,1,POSSESSION",,,,,
[DANGEROUS WEAPONS] WEAPONS POSSESSION 3,-0.012402114049426437,-0.014934314388655303,-0.014834541130154776,-0.007909426141576668,-0.01265174458266141
[SEX CRIMES] SODOMY 3,,,,,
"[FRAUDULENT ACCOSTING] ACCOSTING,FRAUDULENT",,,,,
"[FORGERY] FORGERY,DRIVERS LICENSE",,,,,
"[OFFENSES RELATED TO CHILDREN] CHILD,ALCOHOL SALE TO",,,,,
"[ROBBERY] ROBBERY,ATM LOCATION",,,,,
"[CRIMINAL TRESPASS] TRESPASS 2, CRIMINAL",-0.007574668852782247,-0.0011014062892905736,-0.005830380047599213,-0.004845098928215234,-0.00493019130374532
"[CRIMINAL MISCHIEF & RELATED OF] MISCHIEF, CRIMINAL 4, BY FIRE",0.0045225841395349735,-0.002542181873032506,-0.006767210733961928,-0.005995395179715111,-0.0029715892795647526
[MISCELLANEOUS PENAL LAW] BAIL JUMPING 1 & 2,,,,,
"[DANGEROUS DRUGS] CONTROLLED SUBSTANCE, SALE 4",,,,,
[KIDNAPPING & RELATED OFFENSES] KIDNAPPING 2,,,,,
"[DANGEROUS DRUGS] CONTROLLED SUBSTANCE, POSSESSI",-0.008043799407622263,-0.006489182993436801,-0.012463984395369093,-0.005926096223896074,-0.00840789076936034
"[ROBBERY] ROBBERY,ON BUS/ OR BUS DRIVER",,,,,
[OFFENSES AGAINST THE PERSON] RECKLESS ENDANGERMENT 2,,,,,
"[NYS LAWS-UNCLASSIFIED FELONY] NY STATE LAWS,UNCLASSIFIED FEL",,,,,
[OFF. AGNST PUB ORD SENSBLTY &] FALSE REPORT BOMB,,,,,
"[DANGEROUS DRUGS] CONTROLLED SUBSTANCE,SALE 1",,,,,
"[OTHER OFFENSES RELATED TO THEF] THEFT OF SERVICES, UNCLASSIFIE",-0.0072448253463578555,-0.007490282664377303,-0.006767210733961965,-0.008942309651458667,-0.007754413737958901
"[POSSESSION OF STOLEN PROPERTY] STOLEN PROPERTY 3,POSSESSION",,,,,
[OTHER STATE LAWS (NON PENAL LA] TAX LAW,,,,,
"[ROBBERY] ROBBERY,NECKCHAIN/JEWELRY",,,,,
[MISCELLANEOUS PENAL LAW] THEFT OF SERVICES- CABLE TV SE,,,,,
"[KIDNAPPING & RELATED OFFENSES] IMPRISONMENT 1,UNLAWFUL",,,,,
"[OFFENSES AGAINST PUBLIC ADMINI] PERJURY 3,ETC.",,,,,
"[PETIT LARCENY] LARCENY,PETIT BY ACQUIRING LOS",,,,,
[MISCELLANEOUS PENAL LAW] PROMOTING A SEXUAL PERFORMANCE,,,,,
[MISCELLANEOUS PENAL LAW] AGGRAVATED HARASSMENT 1,,,,,
[DANGEROUS WEAPONS] WEAPONS POSSESSION 1 & 2,0.0075865114922008215,0.018568812913535133,0.014698156599097165,0.002982794843693773,0.011019186639642384
[MISCELLANEOUS PENAL LAW] MENACING 1ST DEGREE (VICT PEAC,,,,,
[ASSAULT 3 & RELATED OFFENSES] OBSTR BREATH/CIRCUL,-0.009059339682441676,-0.011762120531410881,-0.012738473698944569,-0.011607387407503554,-0.011532982899544502
"[ASSAULT 3 & RELATED OFFENSES] MENACING,UNCLASSIFIED",-0.0005322230617858649,-0.012479413564145465,-0.011042386459021497,-0.009670470936429943,-0.008707560334380521
"[FRAUDS] IMPERSONATION 2, PUBLIC SERVAN",,,,,
"[BURGLARY] BURGLARY,UNCLASSIFIED,UNKNOWN",,,,,
[UNAUTHORIZED USE OF A VEHICLE] UNAUTHORIZED USE VEHICLE 3,-0.008925883844342595,-0.0025421818730325366,-0.0067672107339619755,-0.0030484807079717868,-0.005363001508761819
"[MISCELLANEOUS PENAL LAW] TRESPASS 4,CRIMINAL SUB 2",0.0011604671435656722,-0.005840915733928851,0.0021846543536054933,-0.0045219379438433405,-0.001775883164966234
"[ROBBERY] ROBBERY,RESIDENTIAL COMMON AREA",,,,,
"[SEX CRIMES] SEXUAL MISCONDUCT,INTERCOURSE",,,,,
"[ROBBERY] ROBBERY,GAS STATION",,,,,
[ADMINISTRATIVE CODE] IMITATION PISTOL/AIR RIFLE,0.009779425062374386,0.0032165428848371703,0.001200360334803022,0.005781921393515703,0.004980587640213623
"[GRAND LARCENY] LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",0.09401015838569536,0.10550350228139135,0.11336993483221876,0.08532231224901642,0.10114948724675057
"[OFF. AGNST PUB ORD SENSBLTY &] ASSEMBLY,UNLAWFUL",,,,,
[MISCELLANEOUS PENAL LAW] COERCION 1,,,,,
"[MISCELLANEOUS PENAL LAW] FORGERY-ILLEGAL POSSESSION,VEH",,,,,
"[GRAND LARCENY] LARCENY,GRAND OF BICYCLE",,,,,
"[DANGEROUS WEAPONS] WEAPONS,MFR,TRANSPORT,ETC.",,,,,
"[FORGERY] FORGERY,PRESCRIPTION",,,,,
"[GRAND LARCENY] LARCENY,GRAND BY DISHONEST EMP",-0.007244825346357717,-0.009139649594825442,0.00815256441198372,-0.005995395179715088,-0.003370157984430914
[MISCELLANEOUS PENAL LAW] VEHICULAR ASSAULT (INTOX DRIVE,,,,,
"[MISCELLANEOUS PENAL LAW] IMPERSONATION 1, POLICE OFFICE",,,,,
"[PETIT LARCENY] LARCENY,PETIT FROM COIN MACHIN",,,,,
"[nan] LEWDNESS,PUBLIC",,,,,
"[MISCELLANEOUS PENAL LAW] PUBLIC ADMINISTRATION,UNCLASSI",,,,,
"[ROBBERY] ROBBERY,PUBLIC PLACE INSIDE",,,,,
"[OFFENSES AGAINST PUBLIC SAFETY] FIREWORKS, SALE",,,,,
[SEX CRIMES] AGGRAVATED SEXUAL ASBUSE,,,,,
"[ROBBERY] ROBBERY,PHARMACY",,,,,
[OFFENSES AGAINST PUBLIC ADMINI] BAIL JUMPING 3,,,,,
"[CRIMINAL TRESPASS] TRESPASS 3, CRIMINAL",-0.011977176841927945,-0.01499197329994293,-0.018024069221724687,-0.013474500863137406,-0.014922329395071194
"[PETIT LARCENY] LARCENY,PETIT OF VEHICLE ACCES",-0.007870350312824343,-0.007095823078342254,-0.011683218687481466,-0.008480919782246977,-0.00899586382638591
"[PETIT LARCENY] LARCENY,PETIT OF BOAT",,,,,
"[MISCELLANEOUS PENAL LAW] BRIBERY,PUBLIC ADMINISTRATION",-0.008925883844342522,-0.00913964959482554,-0.008259188248556535,-0.00894230965145864,-0.008950119852557371
"[GRAND LARCENY] LARCENY,GRAND BY EXTORTION",,,,,
"[GRAND LARCENY] LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",-0.009425852527121675,-0.01590567609368167,-0.01585789846994117,-0.006211139115163239,-0.011994816224596899
[FELONY ASSAULT] ASSAULT POLICE/PEACE OFFICER,-0.0007364140951203049,-0.01176212053141087,-0.008517453653091976,-0.003270140406819324,-0.006176842633987508
[RAPE] RAPE 2,,,,,
[DANGEROUS DRUGS] SALE SCHOOL GROUNDS 4,,,,,
"[nan] PUBLIC ADMINISTATION,UNCLASS M",,,,,
"[PETIT LARCENY] LARCENY,PETIT BY FALSE PROMISE",,,,,
[nan] RIOT 2/INCITING,,,,,
"[THEFT-FRAUD] FRAUD,UNCLASSIFIED-FELONY",,,,,
[ALCOHOLIC BEVERAGE CONTROL LAW] ALCOHOLIC BEVERAGE CONTROL LAW,0.004924164456419423,0.007980271387902542,-0.006556116544781061,-0.008687333658331521,-0.0010054060987788696
"[MISCELLANEOUS PENAL LAW] ESCAPE 2,1",,,,,
"[PETIT LARCENY] LARCENY,PETIT FROM OPEN AREAS,",-0.008925883844342458,-0.007490282664377252,-0.006767210733961934,-0.007468852415586906,-0.007754413737958823
"[CRIMINAL MISCHIEF & RELATED OF] MISCHIEF,CRIMINAL,    UNCL 2ND",-0.004241626931420617,-0.006443717189266464,-0.00018519514244619972,0.0017798876983444157,-0.0021308003440454137
"[PROSTITUTION & RELATED OFFENSES] PROSTITUTION, PATRONIZING 4, 3",,,,,
"[BURGLARY] BURGLARY,COMMERCIAL,NIGHT",-0.021849757116297566,-0.02361490924299754,-0.02249969133158453,-0.01570881147372215,-0.02114678807381707
[CRIMINAL MISCHIEF & RELATED OF] RECKLESS ENDANGERMENT OF PROPE,-0.008925883844342586,-0.005840915733928991,-0.005275233219367353,-0.004521937943843408,-0.00616013891849415
"[BURGLARY] BURGLARY,UNCLASSIFIED,NIGHT",-0.011136007514724681,-0.0042629241043448405,-0.009065387127137793,-0.007576183662411969,-0.008141501618744964
"[SEX CRIMES] SEXUAL ABUSE 3,2",,,,,
"[ROBBERY] ROBBERY, CHAIN STORE",,,,,
"[GRAND LARCENY] LARCENY,GRAND FROM PERSON,UNCL",-0.0031143928343549507,0.0022367718277950463,-0.0032411785957762343,-0.002227984531733789,-0.0016664087261501234
"[CRIMINAL MISCHIEF & RELATED OF] MISCHIEF, CRIMINAL 3 & 2, OF M",0.02991898388524756,0.02785830245948126,0.03431268048056824,0.04925358572986422,0.03631493056899578
"[OFFENSES INVOLVING FRAUD] BRIBERY,COMMERCIAL",,,,,
"[SEX CRIMES] SEXUAL MISCONDUCT,DEVIATE",,,,,
[ASSAULT 3 & RELATED OFFENSES] ASSAULT 3,0.11434784938545905,0.12271668061055167,0.1284367099172095,0.10843954710133871,0.12040913128540788
"[RAPE] RAPE 1,ATTEMPT",,,,,
[MISCELLANEOUS PENAL LAW] MENACING 1ST DEGREE (VICT NOT,,,,,
[THEFT-FRAUD] COMPUTER TAMPER/TRESSPASS,,,,,
"[PETIT LARCENY OF MOTOR VEHICLE] LARCENY,PETIT OF AUTO",,,,,
"[HARRASSMENT 2] HARASSMENT,SUBD 3,4,5",-0.03332085218686612,-0.0270528429591344,-0.03475076349323876,-0.03058883061320085,-0.031995086369686114
[OFFENSES AGAINST PUBLIC ADMINI] VIOLATION OF ORDER OF PROTECTI,-0.010248329052058958,-0.010595546168143734,-0.011683218687481426,-0.0074387639071613505,-0.01012347230334521
"[PETIT LARCENY] LARCENY,PETIT FROM STORE-SHOPL",-0.01702419280514782,-0.01499197329994261,-0.013544728174430963,-0.013474500863137147,-0.014922329395070984
"[DANGEROUS WEAPONS] WEAPONS, POSSESSION, ETC",-0.02058942931162193,-0.020206390719910924,-0.022398779180448976,-0.02127286473513727,-0.021502418260251795
[MISCELLANEOUS PENAL LAW] AGGRAVATED CRIMINAL CONTEMPT,,,,,
"[BURGLARY] BURGLARY,COMMERCIAL,DAY",-7.313182980758e-05,-0.00104737040580984,0.00579465852240303,-0.0027739390368456502,0.0005272088113924349
