TicketNumber,Longitude,Latitude,Zipcode,Classification,DateReported,CensusTract,CensusBlock,CountyName,Date,Time,Hour
WL19001720,40.94931,-73.83468,10708,M,02/06/2019 12:43 PM,22.02,3003,Westchester County,02/06/2019,12:43 PM,12 PM
WL19001940,41.04208,-73.74286,10604,M,02/11/2019 10:12 AM,87,1013,Westchester County,02/11/2019,10:12 AM,10 AM
WL19001972,41.006,-73.68206,10573,M,02/11/2019 02:41 PM,83.01,2030,Westchester County,02/11/2019,02:41 PM,02 PM
WL19002215,40.92179,-73.85308,10704,M,02/16/2019 02:28 PM,24.03,2002,Westchester County,02/16/2019,02:28 PM,02 PM
WL19002393,41.15429,-73.85989,10562,M,02/21/2019 02:06 PM,133.04,2008,Westchester County,02/21/2019,02:06 PM,02 PM
WL19003247,40.97197,-73.86753,10710,M,03/12/2019 10:38 AM,9,1002,Westchester County,03/12/2019,10:38 AM,10 AM
WL19003540,40.95609,-73.71953,10543,M,03/18/2019 12:04 PM,74.02,2012,Westchester County,03/18/2019,12:04 PM,12 PM
WL19003737,40.91848,-73.84776,10704,M,03/22/2019 05:49 PM,24.03,1002,Westchester County,03/22/2019,05:49 PM,05 PM
WL19004012,40.94436,-73.85998,10701,P,03/29/2019 04:02 PM,17.02,2026,Westchester County,03/29/2019,04:02 PM,04 PM
WL19004326,40.93299,-73.79124,10804,M,04/07/2019 12:26 PM,67,4014,Westchester County,04/07/2019,12:26 PM,12 PM
WL19004496,40.96739,-73.78774,10804,M,04/11/2019 02:27 PM,68.01,3015,Westchester County,04/11/2019,02:27 PM,02 PM
WL19005529,41.00428,-73.67043,10573,M,05/08/2019 11:34 AM,80,3008,Westchester County,05/08/2019,11:34 AM,11 AM
WL19006204,40.94422,-73.86053,10701,M,05/23/2019 11:11 AM,17.02,1003,Westchester County,05/23/2019,11:11 AM,11 AM
WL19006263,41.00924,-73.66526,10573,M,05/24/2019 10:55 AM,81,4003,Westchester County,05/24/2019,10:55 AM,10 AM
WL19006278,40.91559,-73.8222,10553,M,05/25/2019 07:31 AM,41,3023,Westchester County,05/25/2019,07:31 AM,07 AM
WL19006302,40.94876,-73.76571,10538,M,05/26/2019 05:52 PM,69,2014,Westchester County,05/26/2019,05:52 PM,05 PM
