TicketNumber,Latitude,Longitude,Zipcode,Classification,DateReported
ML19019364,40.72256,-74.00142,10013,P,12/09/2019 08:52 AM
ML19019382,40.7781,-73.94555,10128,M,12/09/2019 02:57 PM
ML19019440,40.74263,-74.00043,10011,P,12/10/2019 03:58 PM
QL19009326,40.73931,-73.78566000000001,11365,M,12/08/2019 10:32 AM
QL19009332,40.73488,-73.74941,11427,P,12/08/2019 07:55 PM
QL19009334,40.74209,-73.77583,11365,M,12/08/2019 08:50 PM
QL19009338,40.73057,-73.72517,11426,P,12/09/2019 08:37 AM
WL19014689,40.98181,-73.70115,10580,M,12/08/2019 10:17 AM
WL19014762,41.26099,-73.77553,10598,M,12/10/2019 01:13 PM
XL19015908,40.84474,-73.90759,10457,M,12/08/2019 10:11 AM
XL19015986,40.83082,-73.8172,10465,P,12/10/2019 09:01 AM
XL19015991,40.8192,-73.89576,10459,M,12/10/2019 10:07 AM
XL19016000,40.80867,-73.85194,10473,M,12/10/2019 12:05 PM
ML19018545,40.85471,-73.92798,10040,P,11/23/2019 01:45 PM
ML19019473,40.7435,-74.00185,10011,M,12/11/2019 11:54 AM
ML19019474,40.74613,-73.99788,10001,M,12/11/2019 11:55 AM
ML19019504,40.78855,-73.94898,10029,M,12/11/2019 08:26 PM
QL19009422,40.74645,-73.82433,11355,P,12/11/2019 11:22 AM
WL19014785,40.97056,-73.78154,10804,M,12/11/2019 09:49 AM
WL19014798,41.22299,-73.71501,10507,M,12/11/2019 12:00 PM
WL19014811,40.94234,-73.75574,10538,M,12/11/2019 04:20 PM
ML19019523,40.73712,-74.00575,10014,P,12/12/2019 09:56 AM
ML19019532,40.7238,-73.98564,10009,M,12/12/2019 11:32 AM
ML19019555,40.75341,-73.99632,10001,M,12/12/2019 10:33 PM
QL19009497,40.78775,-73.78822,11360,P,12/12/2019 09:14 PM
WL19014826,41.06227,-73.8088,10523,M,12/12/2019 09:05 AM
WL19014837,41.15879,-73.77559,10514,M,12/12/2019 12:03 PM
WL19014844,41.18579,-73.73719,10549,M,12/12/2019 01:48 PM
WL19014851,40.91237,-73.84387,10550,P,12/12/2019 05:01 PM
WL19014853,40.99958,-73.7466,10605,M,12/12/2019 05:19 PM
WL19014862,41.00974,-73.81111,10583,M,12/12/2019 08:43 PM
WL19014863,40.949510000000004,-73.71333,10580,M,12/12/2019 09:53 PM
ML19019584,40.75009,-73.99499,10001,P,12/13/2019 01:18 PM
QL19009529,40.76987,-73.77506,11361,M,12/13/2019 05:14 PM
QL19009535,40.75014,-73.80746,11358,M,12/13/2019 09:44 PM
WL19014871,40.95448,-73.8207,10707,M,12/13/2019 07:46 AM
WL19014873,40.99955,-73.76225,10605,P,12/13/2019 08:25 AM
WL19014876,41.0644,-73.76751,10603,P,12/13/2019 09:02 AM
WL19014880,40.96353,-73.77774,10804,M,12/13/2019 09:28 AM
WL19014883,41.13585,-73.79028,10570,M,12/13/2019 09:53 AM
WL19014884,40.96546,-73.86791,10710,M,12/13/2019 10:23 AM
WL19014891,41.0609,-73.86277,10591,M,12/13/2019 11:12 AM
WL19014907,41.03845,-73.74811,10604,M,12/13/2019 01:42 PM
WL19014911,41.03632,-73.83689,10607,P,12/13/2019 02:00 PM
WL19014912,41.01425,-73.84056,10502,M,12/13/2019 02:12 PM
WL19014916,40.99618,-73.82048,10583,M,12/13/2019 04:01 PM
WL19014917,41.10571,-73.79385,10532,M,12/13/2019 04:10 PM
WL19014921,40.9805,-73.83082,10710,M,12/13/2019 05:02 PM
WL19014925,41.20606,-73.89231,10520,M,12/13/2019 09:06 PM
WL19014932,40.92857,-73.79673,10804,P,12/14/2019 03:29 AM
XL19016133,40.84671,-73.88547,10460,M,12/13/2019 09:23 AM
XL19016146,40.87875,-73.84629,10469,P,12/13/2019 11:56 AM
XL19016163,40.864020000000004,-73.86327,10467,P,12/13/2019 04:20 PM
ML19019629,40.73634,-74.00832,10014,P,12/14/2019 10:28 AM
QL19009542,40.77655,-73.7735,11360,P,12/14/2019 10:36 AM
WL19014941,41.20896,-73.88792,10520,M,12/14/2019 09:59 AM
WL19014943,40.94641,-73.7634,10538,M,12/14/2019 09:49 AM
WL19014945,40.9378,-73.72963,10543,P,12/14/2019 11:09 AM
WL19014949,40.93824,-73.86559,10701,P,12/14/2019 11:54 AM
WL19014956,40.99481,-73.78076,10583,M,12/14/2019 01:11 PM
WL19014973,40.97671,-73.77443,10583,P,12/14/2019 06:45 PM
XL19016123,40.82798,-73.92585,10452,M,12/12/2019 08:35 PM
ML19019678,40.72398,-73.98605,10009,M,12/15/2019 09:58 AM
QL19009566,40.73512,-73.70555,11001,P,12/15/2019 10:52 AM
WL19014984,40.9984,-73.71722,10580,M,12/15/2019 09:49 AM
WL19015001,41.16409,-73.77739,10514,M,12/16/2019 03:42 AM
ML19019021,40.77458,-73.96402,10021,P,12/02/2019 01:46 PM
ML19019721,40.7453,-73.98685,10001,M,12/16/2019 09:41 AM
ML19019737,40.72605,-74.00962,10013,M,12/16/2019 01:07 PM
QL19009583,40.73467,-73.74934,11427,M,12/16/2019 10:44 AM
QL19009591,40.72132,-73.81138,11367,P,12/16/2019 12:28 PM
QL19009593,40.72203,-73.81674,11367,M,12/16/2019 12:53 PM
QL19009602,40.77505,-73.9193,11102,P,12/16/2019 07:27 PM
QL19009607,40.73445,-73.74931,11427,M,12/16/2019 11:00 PM
WL19015010,41.26082,-73.94069,10511,P,12/16/2019 10:31 AM
WL19015027,40.92655,-73.73426,10543,P,12/16/2019 01:29 PM
WL19015037,40.95432,-73.81212,10709,P,12/16/2019 03:11 PM
WL19015045,40.98579,-73.83281,10583,M,12/16/2019 05:00 PM
WL19015048,40.95252,-73.86607,10701,P,12/16/2019 05:16 PM
XL19016269,40.86115,-73.897,10458,M,12/16/2019 08:21 AM
XL19016292,40.82188,-73.80963,10465,M,12/16/2019 01:21 PM
XL19016314,40.89674,-73.84227,10466,M,12/16/2019 06:19 PM
ML19009535,40.77043,-73.96011,10021,M,06/19/2019 09:48 AM
ML19018792,40.75664,-73.98046,10036,P,11/27/2019 11:44 AM
ML19019780,40.76903,-73.9849,10019,M,12/17/2019 07:48 AM
ML19019789,40.74595,-73.99801,10011,M,12/17/2019 11:15 AM
QL19009647,40.76435,-73.7344,11362,P,12/17/2019 06:56 PM
WL19014408,41.02048,-73.78994,10530,M,12/02/2019 10:20 AM
WL19015068,40.94899,-73.83811,10708,M,12/17/2019 08:41 AM
WL19015106,40.94811,-73.77764,10804,P,12/17/2019 05:28 PM
XL19016295,40.90378,-73.89929,10471,P,12/16/2019 01:58 PM
ML19019847,40.74735,-73.99699,10001,P,12/18/2019 11:00 AM
ML19019861,40.72094,-73.9888,10002,P,12/18/2019 01:48 PM
WL19015124,40.98517,-73.83343,10710,M,12/18/2019 08:34 AM
WL19015125,41.25351,-73.93331,10548,P,12/18/2019 08:49 AM
XL19016387,40.87915,-73.85931,10467,P,12/18/2019 07:28 AM
ML19016350,40.80008,-73.95494,10026,P,10/21/2019 10:35 AM
ML19017813,40.74763,-73.97478,10016,P,11/12/2019 08:10 AM
ML19019901,40.75249,-73.98058,10017,P,12/19/2019 11:49 AM
ML19019909,40.72224,-74.00078,10013,P,12/19/2019 01:21 PM
QL19008983,40.74394,-73.70111,11040,M,11/26/2019 01:35 PM
WL19015172,40.93082,-73.85985,10704,P,12/19/2019 09:06 AM
QL19009718,40.71876,-73.74409,11428,M,12/20/2019 06:50 AM
QL19009720,40.73194,-73.80404,11365,P,12/20/2019 08:27 AM
QL19009753,40.71876,-73.74409,11428,M,12/20/2019 04:26 PM
WL19015214,40.94272,-73.85485,10701,M,12/20/2019 09:38 AM
WL19015215,41.16441,-73.77797,10514,M,12/20/2019 09:44 AM
WL19015218,40.96446,-73.87887,10703,P,12/20/2019 10:21 AM
WL19015219,40.92019,-73.85088,10704,P,12/20/2019 10:24 AM
WL19015230,40.93214,-73.88721,10701,M,12/20/2019 01:28 PM
WL19015236,40.94702,-73.85827,10701,M,12/20/2019 03:25 PM
WL19015237,40.94723,-73.85818,10701,M,12/20/2019 03:41 PM
WL19015258,40.96514,-73.81758,10709,P,12/20/2019 10:44 PM
ML19019998,40.74104,-73.97865,10016,P,12/21/2019 01:00 AM
ML19020011,40.83692,-73.94269,10032,M,12/21/2019 09:14 AM
QL19009767,40.75911,-73.7905,11358,P,12/21/2019 09:04 AM
