Crimes,Spring,Summer,Autumn,Winter,ALL_SEASONS
"[OFFENSES AGAINST PUBLIC ADMINI] PERJURY 3,ETC.",,,,,
"[ROBBERY] ROBBERY, PAYROLL",,,,,
"[PETIT LARCENY] LARCENY,PETIT FROM BUILDING,UN",,,,,
"[ROBBERY] ROBBERY,BODEGA/CONVENIENCE STORE",,,,,
"[DANGEROUS WEAPONS] WEAPONS,MFR,TRANSPORT,ETC.",,,,,
"[POSSESSION OF STOLEN PROPERTY] STOLEN PROP-MOTOR VEHICLE 3RD,",,,,,
"[THEFT-FRAUD] THEFT,RELATED OFFENSES,UNCLASS",,,,,
"[MISCELLANEOUS PENAL LAW] PUBLIC ADMINISTRATION,UNCLASSI",,,,,
"[ADMINISTRATIVE CODE] ADM.CODE,UNCLASSIFIED VIOLATIO",0.02923248935274026,0.03580430689323312,0.03290335275721547,0.017884084545174574,0.029215161320220517
"[ASSAULT 3 & RELATED OFFENSES] MENACING,UNCLASSIFIED",-0.026372495410555037,-0.022212712207472323,-0.02258098804172712,-0.025185886507924533,-0.0244681399239538
"[POSSESSION OF STOLEN PROPERTY] STOLEN PROPERTY-MOTOR VEH 2ND,",,,,,
[ESCAPE 3] ESCAPE 3,,,,,
"[ROBBERY] ROBBERY,LIQUOR STORE",,,,,
"[GRAND LARCENY] LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",,,,,
"[ANTICIPATORY OFFENSES] CONSPIRACY 6, 5",-0.007062169529301317,-0.007303667382803685,-0.00510459501126567,-0.007296325214564983,-0.006777203722629974
[GRAND LARCENY] GRAND LARCENY-CHECK FROM MAILB,,,,,
"[GRAND LARCENY] LARCENY,GRAND OF BOAT",,,,,
"[ROBBERY] ROBBERY,PHARMACY",,,,,
[PROSTITUTION & RELATED OFFENSES] LOITERING TO PROMOTE PROSTITUT,,,,,
"[PETIT LARCENY] LARCENY,PETIT FROM STORE-SHOPL",,,,,
"[GRAND LARCENY OF MOTOR VEHICLE] LARCENY,GRAND OF MOTORCYCLE",,,,,
"[GRAND LARCENY] LARCENY,GRAND BY THEFT OF CREDIT CARD",,,,,
[MISCELLANEOUS PENAL LAW] ENTERPRISE CORRUPTION,,,,,
"[POSSESSION OF STOLEN PROPERTY] STOLEN PROPERTY 2,POSSESSION B",,,,,
OBSCENITY 1,,,,,
"[DANGEROUS DRUGS] MARIJUANA, SALE 4 & 5",,,,,
"[MISCELLANEOUS PENAL LAW] BRIBERY, POLICE OFFICER",,,,,
"[FORGERY] FORGERY,DRIVERS LICENSE",,,,,
"[PETIT LARCENY] LARCENY,PETIT BY CREDIT CARD U",,,,,
[MISCELLANEOUS PENAL LAW] TAMPERING WITH A WITNESS,,,,,
"[PROSTITUTION & RELATED OFFENSES] PROSTITUTION 3,PROMOTING BUSIN",,,,,
"[OTHER OFFENSES RELATED TO THEF] THEFT,RELATED OFFENSES,UNCLASS",,,,,
"[FRAUDS] IMPERSONATION 2, PUBLIC SERVAN",,,,,
"[NEW YORK CITY HEALTH CODE] HEALTH CODE,UNCLASSIFIED MISDE",,,,,
"[NYS LAWS-UNCLASSIFIED FELONY] NY STATE LAWS,UNCLASSIFIED FEL",,,,,
[FELONY ASSAULT] ASSAULT POLICE/PEACE OFFICER,,,,,
[DISORDERLY CONDUCT] DISORDERLY CONDUCT,,,,,
"[ROBBERY] ROBBERY,LICENSED MEDALLION CAB",,,,,
FALSE REPORT UNCLASSIFIED,0.05117647126782236,0.0553518566306838,0.06002575149693524,0.04871536596429839,0.05472974332825635
"[HOMICIDE-NEGLIGENT,UNCLASSIFIE] HOMICIDE,NEGLIGENT,UNCLASSIFIE",,,,,
[SEX CRIMES] COURSE OF SEXUAL CONDUCT AGAIN,,,,,
"[ROBBERY] ROBBERY,OF TRUCK DRIVER",,,,,
"[KIDNAPPING & RELATED OFFENSES] IMPRISONMENT 1,UNLAWFUL",,,,,
"[INTOXICATED & IMPAIRED DRIVING] INTOXICATED DRIVING,ALCOHOL",,,,,
"[DANGEROUS DRUGS] CONTROLLED SUBSTANCE, SALE 5",,,,,
[OFFENSES AGAINST PUBLIC ADMINI] VIOLATION OF ORDER OF PROTECTI,,,,,
"[GAMBLING] GAMBLING 2, PROMOTING, BOOKMAK",,,,,
"[GRAND LARCENY] LARCENY,GRAND FROM COIN MACHIN",,,,,
"[DANGEROUS DRUGS] DRUG PARAPHERNALIA,   POSSESSE",,,,,
