Geoid,Povertyrate,Unemploymentrate,total,popu,borough
36005016100.jpg,0.512,0.129,0.0330188679245283,0.16473597111478863,0
36005016000.jpg,0.11699999999999999,0.06,0.009433962264150943,0.14168045734918008,0
36005037300.jpg,0.45299999999999996,0.11599999999999999,0.02830188679245283,0.2000150443809237,0
36005009200.jpg,0.23399999999999999,0.154,0.01650943396226415,0.18869414773582066,0
36005004800.jpg,0.272,0.17600000000000002,0.0023584905660377358,0.14604332781706034,0
36005002500.jpg,0.39799999999999996,0.083,0.01650943396226415,0.20652173913043478,0
36005051600.jpg,0.067,0.066,0.02358490566037736,0.164058973973221,0
36005037900.jpg,0.48,0.165,0.02830188679245283,0.19155258011132842,0
36005016600.jpg,0.10300000000000001,0.08199999999999999,0.0,0.08146532270197081,0
36005012500.jpg,0.341,0.115,0.01650943396226415,0.1468707687678652,0
36005016500.jpg,0.293,0.095,0.0,0.040506995637129534,0
36005042500.jpg,0.341,0.138,0.014150943396226415,0.2554911990371596,0
36005012300.jpg,0.266,0.035,0.009433962264150943,0.15616067398826539,0
36005005400.jpg,0.36200000000000004,0.075,0.030660377358490566,0.2201369038664059,0
36005006200.jpg,0.40700000000000003,0.134,0.03773584905660377,0.24766812095682264,0
36005013100.jpg,0.309,0.122,0.02830188679245283,0.19192868963442156,0
36005006400.jpg,0.325,0.045,0.01650943396226415,0.1492026478110426,0
36005013000.jpg,0.036000000000000004,0.094,0.0047169811320754715,0.03881450278321047,0
36005036300.jpg,0.45799999999999996,0.215,0.0330188679245283,0.28242064089062735,0
36005043100.jpg,0.33799999999999997,0.094,0.02122641509433962,0.3640740183541447,0
36005042902.jpg,0.38,0.18100000000000002,0.02830188679245283,0.14461411162930646,0
36005030000.jpg,0.077,0.05,0.007075471698113208,0.2195727395817662,0
36005014100.jpg,0.326,0.085,0.0047169811320754715,0.12926884308710695,0
36005032300.jpg,0.059000000000000004,0.062,0.0047169811320754715,0.18444411012486836,0
36005030100.jpg,0.087,0.004,0.0,0.049044681811343464,0
36005048400.jpg,0.044000000000000004,0.08900000000000001,0.01179245283018868,0.13532420640890627,0
36005045101.jpg,0.042,0.031,0.007075471698113208,0.06228373702422145,0
36005014900.jpg,0.40299999999999997,0.129,0.007075471698113208,0.17267188205205355,0
36005019700.jpg,0.327,0.08199999999999999,0.014150943396226415,0.28211975327215283,0
36005038600.jpg,0.21600000000000003,0.05,0.014150943396226415,0.2786595456596961,0
36005036400.jpg,0.034,0.051,0.014150943396226415,0.09617120505491199,0
36005036700.jpg,0.415,0.15,0.007075471698113208,0.09775086505190311,0
36005036501.jpg,0.32899999999999996,0.187,0.0047169811320754715,0.14912742590642394,0
36005014400.jpg,0.35600000000000004,0.152,0.014150943396226415,0.22115239957875735,0
36005015700.jpg,0.34700000000000003,0.124,0.025943396226415096,0.13464720926733864,0
36005036100.jpg,0.335,0.201,0.009433962264150943,0.22638032194975177,0
36005034500.jpg,0.166,0.111,0.007075471698113208,0.13412065593500827,0
36005030200.jpg,0.098,0.086,0.09905660377358491,0.33424853317285996,0
36005046202.jpg,0.214,0.185,0.025943396226415096,0.31130585226417934,0
36005044902.jpg,0.121,0.059000000000000004,0.0,0.07330374605085001,0
36005016700.jpg,0.433,0.14,0.0330188679245283,0.07698961937716263,0
36005035900.jpg,0.38299999999999995,0.157,0.0023584905660377358,0.077516172709493,0
36005017500.jpg,0.429,0.121,0.04716981132075472,0.2599292914096585,0
36005038000.jpg,0.376,0.138,0.030660377358490566,0.17244621633819768,0
36005021602.jpg,0.254,0.10300000000000001,0.009433962264150943,0.21697758387242366,0
36005026400.jpg,0.062,0.07400000000000001,0.0047169811320754715,0.18561004964645705,0
36005022300.jpg,0.39799999999999996,0.111,0.014150943396226415,0.18982247630510005,0
36005021200.jpg,0.14,0.09699999999999999,0.0023584905660377358,0.1980968858131488,0
36005026300.jpg,0.308,0.087,0.030660377358490566,0.2626748909282383,0
36005039901.jpg,0.493,0.133,0.03773584905660377,0.1966300586730856,0
36005014500.jpg,0.37,0.16699999999999998,0.03773584905660377,0.21874529863096134,0
36005018400.jpg,0.146,0.055,0.009433962264150943,0.14499022115239957,0
36005019300.jpg,0.45899999999999996,0.187,0.03537735849056604,0.2053934105611554,0
36005025400.jpg,0.125,0.073,0.0023584905660377358,0.07367985557394313,0
36005016200.jpg,0.124,0.052000000000000005,0.0047169811320754715,0.06653377463517376,0
36005002702.jpg,0.519,0.09699999999999999,0.007075471698113208,0.1683090115841733,0
36005022901.jpg,0.39399999999999996,0.085,0.02122641509433962,0.20197081390100796,0
36005025500.jpg,0.275,0.11,0.02358490566037736,0.24556190762750113,0
36005038500.jpg,0.503,0.132,0.018867924528301886,0.17895291108770875,0
36005032400.jpg,0.515,0.163,0.02358490566037736,0.11121558597863698,0
36005019900.jpg,0.314,0.091,0.01650943396226415,0.3066797051301339,0
36005000200.jpg,0.226,0.158,0.007075471698113208,0.16300586730856026,0
36005020100.jpg,0.401,0.045,0.025943396226415096,0.15093275161727096,0
36005029700.jpg,0.040999999999999995,0.061,0.009433962264150943,0.13366932450729652,0
36005028400.jpg,0.379,0.059000000000000004,0.0047169811320754715,0.03362419136452535,0
36005004001.jpg,0.209,0.077,0.0023584905660377358,0.05340755227922371,0
36005029500.jpg,0.068,0.043,0.02122641509433962,0.15947043779148487,0
36005024400.jpg,0.084,0.085,0.0023584905660377358,0.07973521889574244,0
36005008600.jpg,0.442,0.067,0.0,0.1570633368436889,0
36005024300.jpg,0.36,0.07400000000000001,0.009433962264150943,0.2138182638784414,0
36005036502.jpg,0.28800000000000003,0.079,0.0023584905660377358,0.09113133744546412,0
36005028100.jpg,0.062,0.09300000000000001,0.007075471698113208,0.14269595306153152,0
36005022902.jpg,0.32,0.16699999999999998,0.014150943396226415,0.12310064690837973,0
36005007200.jpg,0.27399999999999997,0.107,0.01179245283018868,0.20430269294418535,0
36005024000.jpg,0.304,0.08900000000000001,0.009433962264150943,0.14600571686475103,0
36005037100.jpg,0.273,0.07200000000000001,0.02830188679245283,0.1595080487437942,0
36005038100.jpg,0.23800000000000002,0.08199999999999999,0.018867924528301886,0.24003309763803218,0
36005034300.jpg,0.087,0.065,0.014150943396226415,0.062020460358056265,0
36005039000.jpg,0.179,0.212,0.007075471698113208,0.1118925831202046,0
36005025100.jpg,0.45399999999999996,0.067,0.018867924528301886,0.25582969760794344,0
36005039300.jpg,0.429,0.209,0.014150943396226415,0.3062659846547315,0
36005005600.jpg,0.42700000000000005,0.152,0.02122641509433962,0.1019632917105461,0
36005016900.jpg,0.428,0.159,0.007075471698113208,0.06254701369038664,0
36005044800.jpg,0.086,0.078,0.0,0.07619978937866707,0
36005046000.jpg,0.32899999999999996,0.11199999999999999,0.02830188679245283,0.10309162027982549,0
36005042000.jpg,0.3,0.122,0.01179245283018868,0.14480216639085303,0
36005036901.jpg,0.501,0.147,0.0047169811320754715,0.0754099593801715,0
36005028500.jpg,0.21100000000000002,0.075,0.01179245283018868,0.12437941928689634,0
36005035100.jpg,0.139,0.05,0.007075471698113208,0.11982849405746954,0
36005039700.jpg,0.31,0.109,0.0023584905660377358,0.13923574544907477,0
36005022702.jpg,0.386,0.115,0.0023584905660377358,0.06390100797352188,0
36005041100.jpg,0.313,0.071,0.01650943396226415,0.11023770121859486,0
36005041300.jpg,0.285,0.065,0.009433962264150943,0.27771927185196327,0
36005039200.jpg,0.158,0.122,0.018867924528301886,0.06698510606288552,0
36005040600.jpg,0.28600000000000003,0.068,0.018867924528301886,0.1312622235595005,0
36005044200.jpg,0.264,0.073,0.009433962264150943,0.13370693545960582,0
36005040701.jpg,0.35700000000000004,0.066,0.01179245283018868,0.12588385737926885,0
36005027900.jpg,0.128,0.053,0.02122641509433962,0.26199789378667065,0
36005040800.jpg,0.27899999999999997,0.192,0.04009433962264151,0.16033548969459907,0
36005026601.jpg,0.136,0.032,0.0047169811320754715,0.10948548217240861,0
36005044901.jpg,0.124,0.086,0.0047169811320754715,0.06837671129833008,0
36005038800.jpg,0.18,0.129,0.009433962264150943,0.0980141417180683,0
36005040900.jpg,0.183,0.126,0.007075471698113208,0.13679103354896946,0
36005046201.jpg,0.078,0.055,0.18160377358490565,1.0,0
36005007000.jpg,0.172,0.059000000000000004,0.0023584905660377358,0.17240860538588837,0
36005028600.jpg,0.105,0.075,0.0047169811320754715,0.04479464420039116,0
36005005200.jpg,0.33899999999999997,0.015,0.014150943396226415,0.07638784414021363,0
36005031800.jpg,0.10400000000000001,0.13,0.0023584905660377358,0.06807582367985557,0
36005023704.jpg,0.5660000000000001,0.129,0.014150943396226415,0.14134195877839628,0
36005043000.jpg,0.16899999999999998,0.126,0.007075471698113208,0.10899653979238755,0
36005042400.jpg,0.13,0.055,0.018867924528301886,0.09331277267940424,0
36005040304.jpg,0.425,0.14300000000000002,0.01179245283018868,0.14269595306153152,0
36005020400.jpg,0.18,0.09699999999999999,0.01179245283018868,0.11193019407251392,0
36005004400.jpg,0.428,0.226,0.030660377358490566,0.18041973822777194,0
36005023501.jpg,0.493,0.08199999999999999,0.007075471698113208,0.12565819166541298,0
36005002800.jpg,0.067,0.040999999999999995,0.02358490566037736,0.21009477959981948,0
36005002701.jpg,0.573,0.075,0.025943396226415096,0.11708289453888973,0
36005002300.jpg,0.47600000000000003,0.17,0.02830188679245283,0.1855348277418384,0
36005037200.jpg,0.17800000000000002,0.086,0.014150943396226415,0.08357153603129232,0
